channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
2;3;0;-1;-1;-1;249;1;1412;48.200201666666665;-4.490948333333334;1.0;0;85.4000015258789;251;0;0;0;-1;562541.779724121;3.2807
1;3;0;-1;-1;-1;0;0;1550;48.200201666666665;-4.49092;1.0;0;93.69999694824219;253;0;0;0;-1;562545.459075928;3.6794
2;3;0;-1;-1;-1;252;0;1661;48.200195;-4.490895;1.100000023841858;0;99.0;254;1;0;0;-1;562548.417968749;2.9589
1;3;0;-1;-1;-1;286;1;1764;48.20019666666666;-4.49088;1.100000023841858;0;90.9000015258789;254;0;0;0;-1;562551.17868042;2.7607
2;3;0;-1;-1;-1;0;0;1913;48.200201666666665;-4.490856666666667;0.8999999761581421;0;85.9000015258789;255;0;0;0;-1;562555.140014648;3.9613
1;3;0;-1;-1;-1;229;0;2050;48.200195;-4.49083;1.0;0;102.0999984741211;256;0;0;0;-1;562558.796752929;3.6567
2;1;0;2216;-1;0;-1;-1;2176;48.200195;-4.49081;0.8999999761581421;0;92.0999984741211;257;0;0;0;-1;562562.178100586;3.3813
1;3;0;-1;-1;-1;0;0;28;48.20019833333333;-4.4907916666666665;0.8999999761581421;0;93.5;258;0;0;0;-1;562564.899475097;2.7214
1;1;0;-1;321;6;-1;-1;321;48.200203333333334;-4.490755;0.800000011920929;0;91.5;260;0;0;0;-1;562572.698638915;7.7992
2;1;0;-1;-1;5;-1;-1;689;48.200205;-4.490725;0.5;0;78.0999984741211;261;0;0;0;-1;562582.499725341;9.8011
1;1;0;-1;-1;7;-1;-1;1009;48.200206666666666;-4.490711666666667;0.30000001192092896;0;77.5;263;0;0;0;-1;562591.03652954;8.5368
2;3;1;-1;-1;-1;0;0;1412;48.20021333333333;-4.490696666666667;0.20000000298023224;0;34.79999923706055;264;0;0;0;-1;562601.779632568;10.7431
2;5;-1;-1;-1;-1;-1;-1;1517;-1;-1;-1;0;-1;-1;-1;-1;-1;0;562604.596466064;2.8168
1;1;1;0;-1;0;-1;-1;1764;48.20021666666667;-4.490691666666667;0.30000001192092896;0;355.20001220703125;264;0;0;0;-1;562611.178619384;6.5822
2;1;1;0;-1;0;-1;-1;2142;48.200235;-4.490693333333334;0.4000000059604645;0;350.6000061035156;265;0;0;0;-1;562621.276458739;10.0978
1;1;1;0;-1;0;-1;-1;321;48.20025166666667;-4.49071;0.4000000059604645;0;326.5;265;0;0;0;-1;562632.698638915;11.4222
2;1;1;0;-1;0;-1;-1;689;48.20027;-4.490726666666666;0.5;0;315.6000061035156;265;0;0;0;-1;562642.499481201;9.8008
1;1;1;0;-1;0;-1;-1;1009;48.20028;-4.49074;0.6000000238418579;0;330.70001220703125;264;0;0;0;-1;562651.03704834;8.5376
1;3;1;-1;-1;-1;0;0;1187;48.200595;-4.490916666666666;0.5;0;342.5;260;0;0;0;-1;562775.778442382;124.7414
2;3;1;-1;-1;-1;0;0;1146;48.201075;-4.491211666666667;0.6000000238418579;0;323.79998779296875;235;0;0;0;-1;562954.698303222;178.9199
1;3;1;-1;-1;-1;0;0;1155;48.20124333333333;-4.491431666666666;0.20000000298023224;0;183.1999969482422;222;0;0;0;-1;563134.938598632;180.2403
2;5;-1;-1;-1;-1;-1;-1;1440;-1;-1;-1;2;-1;-1;-1;-1;-1;0;563142.538513183;7.5999
2;3;1;-1;-1;-1;0;0;1253;48.20102166666667;-4.49118;0.5;0;158.39999389648438;231;0;0;0;-1;563317.538238525;174.9997
1;3;1;-1;-1;-1;0;0;1171;48.20072;-4.490925;0.5;0;139.6999969482422;242;0;0;0;-1;563495.358093261;177.8199
1;5;-1;-1;-1;-1;-1;-1;1425;-1;-1;-1;2;-1;-1;-1;-1;-1;0;563502.137420653;6.7793
2;3;1;-1;-1;-1;0;0;1167;48.20051333333333;-4.490825;0.20000000298023224;0;170.1999969482422;257;0;0;0;-1;563675.237548827;173.1001
1;3;1;-1;-1;-1;0;0;1168;48.20063666666667;-4.490896666666667;0.4000000059604645;0;349.1000061035156;254;0;0;0;-1;563855.278320311;180.0408
2;5;-1;-1;-1;-1;-1;-1;1470;-1;-1;-1;2;-1;-1;-1;-1;-1;0;563863.336517333;8.0582
2;3;1;-1;-1;-1;0;0;1166;48.200855;-4.491078333333333;0.20000000298023224;0;301.20001220703125;236;0;0;0;-1;564035.217468261;171.881
1;3;1;-1;-1;-1;0;0;1178;48.200905;-4.4910483333333335;0.20000000298023224;0;62.599998474121094;236;0;0;0;-1;564215.537872314;180.3204
1;5;-1;-1;-1;-1;-1;-1;1477;-1;-1;-1;0;-1;-1;-1;-1;-1;0;564223.501068115;7.9632
2;3;1;-1;-1;-1;0;0;1198;48.20088333333333;-4.49111;0.0;0;109.69999694824219;240;0;0;0;-1;564396.077758789;172.5767
1;3;1;-1;-1;-1;0;0;1250;48.20086333333333;-4.491063333333333;0.20000000298023224;0;186.5;236;0;0;0;-1;564577.45739746;181.3796
2;5;-1;-1;-1;-1;-1;-1;1501;-1;-1;-1;0;-1;-1;-1;-1;-1;0;564584.156677246;6.6993
2;3;1;-1;-1;-1;0;0;1202;48.200651666666666;-4.490928333333334;0.30000001192092896;0;169.89999389648438;239;0;0;0;-1;564756.178558349;172.0219
1;3;1;-1;-1;-1;0;0;1196;48.200403333333334;-4.490766666666667;0.10000000149011612;0;136.10000610351562;256;0;0;0;-1;564936.019653319;179.8411
1;5;-1;-1;-1;-1;-1;-1;1520;-1;-1;-1;2;-1;-1;-1;-1;-1;0;564944.65838623;8.6387
2;3;1;-1;-1;-1;0;0;1157;48.200385;-4.490806666666667;0.10000000149011612;0;349.1000061035156;257;0;0;0;-1;565114.9788208;170.3204
1;3;1;-1;-1;-1;0;0;1239;48.200565;-4.490888333333333;0.4000000059604645;0;329.20001220703125;250;0;0;0;-1;565297.157104492;182.1783
2;5;-1;-1;-1;-1;-1;-1;1405;-1;-1;-1;0;-1;-1;-1;-1;-1;0;565301.596343993;4.4392
2;3;1;-1;-1;-1;0;0;1133;48.200745;-4.491025;0.30000001192092896;0;12.399999618530273;242;0;0;0;-1;565474.338775634;172.7424
1;3;1;-1;-1;-1;0;0;1172;48.200825;-4.491056666666666;0.0;0;193.60000610351562;236;0;0;0;-1;565655.378479003;181.0397
1;5;-1;-1;-1;-1;-1;-1;1385;-1;-1;-1;0;-1;-1;-1;-1;-1;0;565661.041107177;5.6626
2;3;1;-1;-1;-1;0;0;1126;48.20072;-4.490953333333334;0.30000001192092896;0;157.8000030517578;240;0;0;0;-1;565834.138458252;173.0974
1;3;1;-1;-1;-1;0;0;1136;48.200605;-4.490836666666667;0.20000000298023224;0;154.60000610351562;250;0;0;0;-1;566014.397827148;180.2594
2;5;-1;-1;-1;-1;-1;-1;1504;-1;-1;-1;2;-1;-1;-1;-1;-1;0;566024.218170166;9.8203
2;3;1;-1;-1;-1;0;0;1257;48.20069;-4.490916666666666;0.20000000298023224;0;14.0;244;0;0;0;-1;566197.638183593;173.42
1;3;1;-1;-1;-1;0;0;1163;48.20075166666667;-4.490961666666666;0.10000000149011612;0;201.8000030517578;238;0;0;0;-1;566375.119873046;177.4817
1;5;-1;-1;-1;-1;-1;-1;1518;-1;-1;-1;2;-1;-1;-1;-1;-1;0;566384.598419188;9.4785
2;3;1;-1;-1;-1;0;0;1247;48.200675;-4.490891666666666;0.20000000298023224;0;152.10000610351562;246;0;0;0;-1;566557.357299805;172.7589
1;3;1;-1;-1;-1;0;0;1136;48.200631666666666;-4.490901666666667;0.0;0;102.5999984741211;246;0;0;0;-1;566734.397216797;177.0399
2;5;-1;-1;-1;-1;-1;-1;1455;-1;-1;-1;2;-1;-1;-1;-1;-1;0;566742.917144775;8.5199
2;3;1;-1;-1;-1;0;0;1236;48.200586666666666;-4.490878333333334;0.10000000149011612;0;181.3000030517578;246;0;0;0;-1;566917.07723999;174.1601
1;3;1;-1;-1;-1;0;0;1215;48.20044;-4.490808333333334;0.4000000059604645;0;168.89999389648438;248;0;0;0;-1;567096.517364501;179.4401
1;5;-1;-1;-1;-1;-1;-1;1490;-1;-1;-1;0;-1;-1;-1;-1;-1;0;567103.837493896;7.3201
2;3;1;-1;-1;-1;0;0;1241;48.20037333333333;-4.490696666666667;0.10000000149011612;0;228.6999969482422;253;0;0;0;-1;567277.196777343;173.3593
1;3;1;-1;-1;-1;0;0;1227;48.200375;-4.490821666666666;0.10000000149011612;0;134.8000030517578;259;0;0;0;-1;567456.819763183;179.623
2;5;-1;-1;-1;-1;-1;-1;1395;-1;-1;-1;0;-1;-1;-1;-1;-1;0;567461.316467284;4.4967
2;3;1;-1;-1;-1;0;0;1250;48.200588333333336;-4.490881666666667;0.20000000298023224;0;345.29998779296875;249;0;0;0;-1;567637.437377929;176.1209
1;3;1;-1;-1;-1;0;0;1169;48.20071333333333;-4.490961666666666;0.20000000298023224;0;293.20001220703125;238;0;0;0;-1;567815.277160644;177.8398
1;5;-1;-1;-1;-1;-1;-1;1473;-1;-1;-1;2;-1;-1;-1;-1;-1;0;567823.381317138;8.1042
